Ligando,Pose,Vina_score,Intramol,CNNscore,CNNaffinity
ligando_286,1,-9.11,1.5,0.6652,7.331
ligando_287,1,-10.81,1.94,0.3888,7.698
ligando_288,1,-9.44,-0.39,0.6761,5.967
ligando_289,1,-9.23,-0.39,0.3512,6.21
ligando_290,1,-8.89,-0.73,0.5715,6.655
ligando_291,1,-8.35,0.05,0.2076,5.562
ligando_292,1,-9.83,0.93,0.1604,6.042
ligando_293,2,-3.62,-0.26,0.2047,5.848
ligando_294,1,-8.24,-0.08,0.2603,6.376
ligando_295,1,-10.07,0.36,0.1468,6.599
ligando_296,1,-8.38,1.21,0.0849,4.969
ligando_297,1,-7.57,-0.47,0.4595,4.556
ligando_298,1,-8.83,-0.46,0.7036,6.704
ligando_299,1,-8.83,-0.23,0.3054,5.676
ligando_300,1,-8.76,-0.7,0.3589,6.382
ligando_301,1,-9.41,0.37,0.2089,6.363
ligando_302,1,-1.1,-0.25,0.2365,5.447
ligando_303,1,-10.65,0.1,0.4156,7.083
ligando_304,1,-9.59,0.21,0.2953,6.955
ligando_305,1,-9.56,-0.59,0.3239,6.203
ligando_306,1,-9.39,1.03,0.6229,7.448
ligando_307,1,-8.49,0.46,0.6555,6.71
ligando_308,1,-8.71,0.54,0.2155,5.626
ligando_309,1,-9.52,-0.72,0.2641,6.527
ligando_310,1,-4.32,0.76,0.2296,4.923
ligando_311,1,-8.58,-0.22,0.9152,6.905
ligando_312,1,-8.54,0.33,0.3095,6.642
ligando_313,1,-10.5,-0.0,0.4727,6.754
ligando_314,1,-11.05,0.57,0.1842,5.863
ligando_315,1,-9.93,-0.33,0.2027,6.218
ligando_316,1,-7.98,-0.58,0.6242,7.462
ligando_317,1,-8.47,-0.46,0.605,6.86
ligando_318,1,-8.64,0.12,0.2804,5.768
ligando_319,1,-9.32,-0.28,0.9607,7.084
ligando_320,1,-9.06,-0.55,0.6035,7.2
ligando_321,1,-9.65,0.15,0.1826,5.461
ligando_322,1,-8.65,-0.09,0.5547,6.716
ligando_323,1,-10.66,0.5,0.5628,6.691
ligando_324,1,-7.58,-0.12,0.5232,5.972
ligando_325,1,-10.62,-0.46,0.1155,5.946
ligando_326,1,-7.46,1.06,0.4292,5.755
ligando_327,1,-9.67,-0.43,0.5746,7.695
ligando_328,1,-10.83,-0.28,0.1419,6.318
ligando_329,1,-9.97,1.38,0.5032,6.316
ligando_330,1,-7.08,-0.66,0.4193,5.462
ligando_331,2,-9.64,-0.03,0.2637,6.726
ligando_332,1,-8.21,-0.26,0.6419,6.083
ligando_333,1,-8.73,-0.34,0.4712,6.618
ligando_334,1,-10.54,1.78,0.0755,5.471
ligando_335,1,-9.38,0.06,0.5299,6.474
ligando_336,1,-10.19,-1.37,0.1328,5.523
ligando_337,1,-8.97,-1.09,0.4954,6.27
ligando_338,1,-8.73,-1.07,0.3393,6.547
ligando_339,1,-9.23,-0.67,0.6959,6.823
ligando_340,1,-8.78,5.6,0.7792,7.015
ligando_341,1,-8.81,-0.23,0.4141,6.914
ligando_342,1,-10.27,-0.17,0.1828,5.807
ligando_343,1,-8.66,0.18,0.7668,6.537
ligando_344,1,-7.84,-0.35,0.1681,5.589
ligando_345,1,-3.9,-0.45,0.4481,5.805
ligando_346,1,-10.49,-0.43,0.2714,6.733
ligando_347,1,-9.71,-0.71,0.3866,7.255
ligando_348,1,-8.93,-0.51,0.7151,7.095
ligando_349,1,-9.17,0.83,0.8236,6.714
ligando_350,1,-8.94,-0.1,0.3657,6.599
ligando_351,1,-8.67,-0.09,0.9319,6.598
ligando_352,1,-8.29,-0.39,0.2898,6.542
ligando_353,1,-7.88,0.95,0.2566,5.829
ligando_354,1,-8.25,-0.55,0.2629,4.916
ligando_355,1,-8.75,0.67,0.8087,6.53
ligando_356,1,-8.84,-0.63,0.2537,6.56
ligando_357,1,-8.83,-0.1,0.4771,6.413
ligando_358,1,-7.1,0.77,0.7303,5.419
ligando_359,1,-9.31,-0.16,0.761,6.846
ligando_360,1,-7.2,2.98,0.2521,6.806
ligando_361,2,-8.38,0.01,0.2808,5.955
ligando_362,1,-9.25,2.21,0.3367,7.068
ligando_363,1,-9.87,-0.34,0.5551,6.84
ligando_364,1,-8.77,-0.34,0.2761,5.999
ligando_365,1,-8.95,-0.12,0.298,6.174
ligando_366,2,-8.73,-0.04,0.5574,6.511
ligando_367,1,-11.25,-0.35,0.3071,6.537
ligando_368,1,-9.89,0.46,0.3026,6.286
ligando_369,1,-9.18,1.48,0.3837,6.178
ligando_370,1,-8.2,-0.13,0.2368,6.198
ligando_371,1,-5.15,0.09,0.1788,6.18
ligando_372,1,-7.77,1.44,0.3781,6.114
ligando_373,1,-6.97,-0.13,0.5123,6.178
ligando_374,1,-8.37,-0.27,0.5261,6.445
ligando_375,1,-7.78,-0.48,0.1798,6.086
ligando_376,1,-10.45,-0.57,0.1659,5.534
ligando_377,1,-9.92,-0.34,0.1103,5.456
ligando_378,1,-10.28,-0.6,0.2512,6.175
ligando_379,1,-9.68,0.57,0.4785,6.562
ligando_380,1,-8.66,-0.32,0.3984,6.681
ligando_381,1,-7.84,0.29,0.502,6.568
ligando_382,1,-9.19,-0.16,0.5043,6.789
ligando_383,1,-7.63,-0.39,0.5794,5.228
ligando_384,1,-8.59,0.03,0.2869,6.053
ligando_385,1,-8.07,0.06,0.8287,6.37
ligando_386,1,-9.33,-0.66,0.3893,7.151
ligando_387,1,-8.85,-0.06,0.5301,7.389
ligando_388,1,-8.32,0.12,0.1381,5.529
ligando_389,2,-9.43,1.59,0.3593,6.531
ligando_390,1,-10.72,-0.82,0.3316,6.51
ligando_391,1,-9.46,-0.39,0.4241,6.797
ligando_392,1,-7.61,2.78,0.3429,6.489
ligando_393,1,-9.82,-0.76,0.157,6.33
ligando_394,1,-9.46,-0.15,0.4094,6.267
ligando_395,1,-7.47,-0.33,0.1888,4.588
ligando_396,1,-7.94,0.87,0.412,5.372
ligando_397,1,-3.11,1.01,0.3913,6.258
ligando_398,1,-3.28,-0.08,0.5094,5.792
ligando_399,1,-11.0,-0.09,0.2958,7.592
ligando_400,1,-7.97,0.56,0.7107,6.671
ligando_401,1,-8.84,0.22,0.4195,6.775
ligando_402,1,-10.81,1.14,0.6185,7.352
ligando_403,1,-10.35,-0.66,0.3102,7.335
ligando_404,1,-8.17,0.13,0.3251,5.974
ligando_405,3,-8.4,-0.49,0.178,6.54
ligando_406,1,-8.74,0.52,0.2373,5.32
ligando_407,1,-8.55,-0.57,0.5231,6.864
ligando_408,1,-8.21,-0.07,0.874,6.176
ligando_409,1,-7.97,-0.71,0.2093,6.552
ligando_410,1,-11.09,-0.79,0.1717,6.487
ligando_411,1,-8.12,-0.1,0.1938,6.586
ligando_412,8,-9.43,-0.49,0.1992,6.251
ligando_413,1,-11.24,1.19,0.2758,7.351
ligando_414,1,-9.4,-0.63,0.3252,6.313
ligando_415,1,-11.06,-0.58,0.4472,7.28
